Nº de Legajo	Fecha y Hora	Código de Tarea

7	2015-07-01 06:31:56	0
10	2015-07-01 06:32:29	0
9	2015-07-01 06:32:36	0
19	2015-07-01 06:35:40	0
3	2015-07-01 06:49:20	0
22	2015-07-01 07:11:29	0
26	2015-07-01 07:16:46	0
70	2015-07-01 07:24:53	0
72	2015-07-01 07:26:38	0
1	2015-07-01 07:27:12	0
6	2015-07-01 07:29:57	0
15	2015-07-01 07:33:16	0
5	2015-07-01 07:46:09	0
71	2015-07-01 07:48:46	0
80	2015-07-01 07:48:51	0
32	2015-07-01 08:03:12	0
50	2015-07-01 08:05:09	0
23	2015-07-01 08:05:43	0
11	2015-07-01 08:15:10	0
31	2015-07-01 08:21:31	0
13	2015-07-01 09:03:40	0
18	2015-07-01 10:44:10	0
9	2015-07-01 12:11:56	0
32	2015-07-01 12:12:05	0
11	2015-07-01 12:14:37	0
32	2015-07-01 12:48:49	0
9	2015-07-01 12:52:34	0
31	2015-07-01 13:00:51	0
26	2015-07-01 13:14:00	0
10	2015-07-01 13:16:39	0
11	2015-07-01 13:39:33	0
15	2015-07-01 13:48:14	0
31	2015-07-01 13:53:18	0
50	2015-07-01 13:53:37	0
26	2015-07-01 13:55:52	0
10	2015-07-01 14:29:31	0
22	2015-07-01 14:35:59	0
72	2015-07-01 14:36:39	0
50	2015-07-01 14:48:47	0
72	2015-07-01 15:39:58	0
9	2015-07-01 16:24:16	0
19	2015-07-01 16:42:25	0
26	2015-07-01 16:59:34	0
3	2015-07-01 17:00:20	0
23	2015-07-01 17:00:42	0
32	2015-07-01 17:06:43	0
50	2015-07-01 17:06:49	0
80	2015-07-01 17:06:59	0
3	2015-07-01 17:07:01	0
1	2015-07-01 17:07:08	0
13	2015-07-01 17:09:05	0
5	2015-07-01 17:09:23	0
31	2015-07-01 17:11:24	0
71	2015-07-01 17:11:58	0
18	2015-07-01 17:15:34	0
11	2015-07-01 17:17:09	0
8	2015-07-01 17:18:16	0
6	2015-07-01 17:33:14	0
10	2015-07-01 17:35:23	0
22	2015-07-01 17:36:10	0
72	2015-07-01 18:47:44	0
19	2015-07-02 06:10:02	0
10	2015-07-02 06:10:31	0
3	2015-07-02 06:37:13	0
7	2015-07-02 06:39:16	0
9	2015-07-02 06:51:19	0
71	2015-07-02 06:51:25	0
15	2015-07-02 06:56:46	0
26	2015-07-02 07:08:15	0
22	2015-07-02 07:08:26	0
1	2015-07-02 07:22:53	0
70	2015-07-02 07:25:46	0
6	2015-07-02 07:31:44	0
72	2015-07-02 07:38:58	0
5	2015-07-02 07:46:33	0
14	2015-07-02 07:56:50	0
31	2015-07-02 07:59:19	0
13	2015-07-02 08:02:13	0
18	2015-07-02 08:04:30	0
32	2015-07-02 08:05:24	0
50	2015-07-02 08:15:21	0
11	2015-07-02 08:15:48	0
80	2015-07-02 08:18:12	0
23	2015-07-02 08:23:22	0
18	2015-07-02 12:09:45	0
50	2015-07-02 12:23:16	0
11	2015-07-02 12:36:00	0
31	2015-07-02 12:38:15	0
50	2015-07-02 12:38:44	0
32	2015-07-02 12:47:40	0
26	2015-07-02 13:05:34	0
6	2015-07-02 13:29:33	0
6	2015-07-02 14:05:29	0
72	2015-07-02 14:42:50	0
72	2015-07-02 15:42:33	0
9	2015-07-02 16:21:05	0
6	2015-07-02 16:27:29	0
22	2015-07-02 16:27:59	0
15	2015-07-02 16:31:32	0
1	2015-07-02 17:03:58	0
5	2015-07-02 17:05:11	0
13	2015-07-02 17:05:30	0
80	2015-07-02 17:15:02	0
32	2015-07-02 17:28:19	0
11	2015-07-02 17:28:28	0
7	2015-07-02 17:52:49	0
31	2015-07-02 18:07:10	0
71	2015-07-02 18:07:27	0
72	2015-07-02 18:19:46	0
19	2015-07-03 05:55:13	0
3	2015-07-03 06:32:03	0
7	2015-07-03 06:34:25	0
9	2015-07-03 06:41:05	0
71	2015-07-03 06:44:35	0
10	2015-07-03 07:12:24	0
26	2015-07-03 07:15:03	0
22	2015-07-03 07:21:44	0
1	2015-07-03 07:21:56	0
6	2015-07-03 07:24:32	0
72	2015-07-03 07:24:43	0
70	2015-07-03 07:26:33	0
32	2015-07-03 07:30:43	0
